outlet_name,area,kategori_tempat,sub_kategori_tempat,tipe_tempat,periode,foto_qty,unlock_qty,print_qty,total_revenue,conversion_rate,unlock_to_print_rate,avg_revenue_per_transaction,avg_revenue_per_print,outlet_status,revenue_rank
JGC,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,1371,125,136,4116989.0,9.92,108.8,1674.0,30272.0,Relocate,26
Kayumanis Seaside Sanur,Bali,Hotel,Resort/Hotel,Indoor,2025-06,1211,240,259,8143135.0,21.39,107.92,3589.0,31441.0,Relocate,15
Kembali Ke Alam Puncak,Bali,Wisata,Taman/Wisata Alam,Outdoor,2025-06,2349,475,510,17525612.0,21.71,107.37,3699.0,34364.0,Optimasi,3
Kopi Daong - Hutan Pinus,Lainnya,Restoran,Cafe/Coffee Shop,Indoor,2025-06,848,224,253,9460362.0,29.83,112.95,5184.0,37393.0,Relocate,11
Kuwa Koffie x Mulih Ka Uwa,Lainnya,Restoran,Cafe/Coffee Shop,Indoor,2025-06,822,100,104,3492076.0,12.65,104.0,2174.0,33578.0,Relocate,28
Mall Bali Icon,Bali,Mall,Shopping Center,Indoor,2025-06,1319,271,285,8723291.0,21.61,105.17,3228.0,30608.0,Relocate,13
Museum Mandiri Jakarta,Jakarta,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,449,73,79,2466960.0,17.59,108.22,2670.0,31227.0,Relocate,31
Myloc Coffe & Cafe,Lainnya,Restoran,Cafe/Coffee Shop,Indoor,2025-06,0,1,0,7744.0,0.0,0.0,7744.0,0.0,Relocate,36
Omman Kopi Temanggung - Tugu Jogja,Yogyakarta,Restoran,Cafe/Coffee Shop,Indoor,2025-06,709,353,386,12366286.0,54.44,109.35,5725.0,32037.0,Optimasi,7
Sacra | Stuja Ubud,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,338,84,86,2467361.0,25.44,102.38,3688.0,28690.0,Relocate,30
Sarinah Dewata,Lainnya,Mall,Shopping Center,Indoor,2025-06,685,208,211,7709868.0,30.8,101.44,4914.0,36540.0,Relocate,17
Sarinah Kolam,Lainnya,Mall,Shopping Center,Indoor,2025-06,823,314,322,11396585.0,39.13,102.55,6078.0,35393.0,Optimasi,9
Senayan Park,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,714,142,152,5352946.0,21.29,107.04,3799.0,35217.0,Relocate,25
Senayan Park 2,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,1174,296,292,12411335.0,24.87,98.65,4980.0,42505.0,Optimasi,6
Stuja Di Pantai,Lainnya,Wisata,Taman/Wisata Alam,Outdoor,2025-06,773,375,392,12816563.0,50.71,104.53,4820.0,32695.0,Optimasi,4
Taman Ismail Marzuki,Jakarta,Wisata,Taman/Wisata Alam,Outdoor,2025-06,1564,329,341,12104179.0,21.8,103.65,4641.0,35496.0,Optimasi,8
Taman Lapangan Banteng,Jakarta,Wisata,Taman/Wisata Alam,Outdoor,2025-06,1886,195,201,6375146.0,10.66,103.08,1437.0,31717.0,Relocate,20
Taman Literasi Jakarta,Jakarta,Wisata,Taman/Wisata Alam,Outdoor,2025-06,1529,206,217,7156366.0,14.19,105.34,2674.0,32979.0,Relocate,18
Teras Samarinda,Samarinda,Komunitas,Community Space,Semi-Outdoor,2025-06,2448,633,662,23326229.0,27.04,104.58,4066.0,35236.0,Keeper,1
The Alana Hotel & Conference Center Sentul City,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,201,37,42,907101.0,20.9,113.51,2268.0,21598.0,Relocate,34
The Keranjang Bali,Bali,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,767,253,278,8383277.0,36.25,109.88,4042.0,30156.0,Relocate,14
Transjakarta - Halte CSW,Jakarta,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,0,1,0,3284.0,0.0,0.0,3284.0,0.0,Relocate,37
Zonablu x Gofit,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,841,300,315,10516152.0,37.46,105.0,4756.0,33385.0,Optimasi,10
Aeon Deltamas - Entrance,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-07,886,122,125,3079996.0,14.11,102.46,2154.0,24640.0,Relocate,29
